config,alpha,auc_l1,auc_llr
FitBit,4.094915062380423,0.5631281828703704,0.5409082754629629
FitBit,4.941713361323833,0.5537906539351858,0.5303836805555557
FitBit,5.963623316594643,0.5435360243055556,0.5250225694444445
FitBit,7.196856730011514,0.5383725405092593,0.5182120949074072
FitBit,8.68511373751352,0.5302486979166665,0.5143735532407405
FitBit,10.481131341546853,0.5265247395833333,0.5090888310185188
FitBit,12.648552168552959,0.5223412905092594,0.5063706597222223
FitBit,15.264179671752318,0.5178178530092594,0.5034198495370368
FitBit,18.420699693267146,0.5162932581018521,0.5031657986111111
FitBit,22.229964825261934,0.5125989583333332,0.5020150462962961
FitBit,26.826957952797247,0.5124254918981481,0.502915219907407
FitBit,32.374575428176435,0.5093104745370369,0.5001475694444446
FitBit,39.06939937054613,0.5066501736111113,0.5014675925925927
FitBit,47.1486636345739,0.505619357638889,0.5008680555555552
FitBit,56.89866029018293,0.5063123553240741,0.5002913773148148
FitBit,68.66488450042998,0.5060659722222223,0.49991464120370394
FitBit,82.86427728546842,0.5030050636574074,0.5005633680555553
FitBit,100.0,0.5030869502314816,0.4996458333333333
