****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350695 ******* 

Variable    Labels
ER66452    ACCURACY OF SPOUSE OT HOURS WRKD LAST YR
ER66453    DE16-17 MAIN JOB INDICATOR              
ER66454    DE6 BEGINNING MONTH--JOB 1              
ER66455    DE6 BEGINNING YEAR--JOB 1               
ER66456    DE6 ENDING MONTH--JOB 1                 
ER66457    DE6 ENDING YEAR--JOB 1                  
ER66458    DE6 WTR EMPLOYED--JOB 1 JAN             
ER66459    DE6 WTR EMPLOYED--JOB 1 FEB             
ER66460    DE6 WTR EMPLOYED--JOB 1 MAR             
ER66461    DE6 WTR EMPLOYED--JOB 1 APR             
ER66462    DE6 WTR EMPLOYED--JOB 1 MAY             
ER66463    DE6 WTR EMPLOYED--JOB 1 JUN             
ER66464    DE6 WTR EMPLOYED--JOB 1 JUL             
ER66465    DE6 WTR EMPLOYED--JOB 1 AUG             
ER66466    DE6 WTR EMPLOYED--JOB 1 SEP             
ER66467    DE6 WTR EMPLOYED--JOB 1 OCT             
ER66468    DE6 WTR EMPLOYED--JOB 1 NOV             
ER66469    DE6 WTR EMPLOYED--JOB 1 DEC             
ER66470    DE20 MAIN OCC FOR JOB 1: 2010 CODE (SP) 
ER66471    DE21 MAIN IND FOR JOB 1: 2012 CODE (SP) 
ER66472    DE21B AVERAGE COMMUTE TIME (SP)         
ER66473    DE22 WORK SELF/OTR?--JOB 1              
ER66474    DE23 CORP/UNCORP BUS--JOB 1             
ER66475    DE24 WORK FOR GOVT?--JOB 1              
ER66476    DE25A NUMBER EMPLOYED AT WORK LOCATION  
ER66477    DE25B WTR 200 OR MORE                   
ER66478    DE25C WTR 100 OR MORE                   
ER66479    DE25D WTR 50 OR MORE                    
ER66480    DE25E WTR 500 OR MORE                   
ER66481    DE25F WTR 1000 OR MORE                  
ER66482    DE26 JOB NOW UNION? (SP-E)              
ER66483    DE27 BELONG UNION? (SP-E)               
ER66484    DE28A WTR JOB REQUIRES COMPUTER USE     
ER66485    DE29 SLRY/HRLY/OTR (SP-E)               
ER66486    DE30 SALARY AMOUNT                      
ER66487    DE30 SALARY PER WHAT                    
